Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
2670,West Dennis,MA,41.659749,-70.17089,-5,1,"41.659749, -70.17089"
1301,Greenfield,MA,42.605524,-72.60098,-5,1,"42.605524, -72.60098"
1560,South Grafton,MA,42.177462,-71.69382,-5,1,"42.177462, -71.69382"
1730,Bedford,MA,42.496679,-71.27504,-5,1,"42.496679, -71.27504"
1983,Topsfield,MA,42.642471,-70.94424,-5,1,"42.642471, -70.94424"
1035,Hadley,MA,42.35549,-72.5733,-5,1,"42.35549, -72.5733"
2051,Marshfield Hills,MA,42.151202,-70.734146,-5,1,"42.151202, -70.734146"
1266,West Stockbridge,MA,42.328535,-73.36407,-5,1,"42.328535, -73.36407"
1545,Shrewsbury,MA,42.286643,-71.72502,-5,1,"42.286643, -71.72502"
2714,Dartmouth,MA,41.756214,-71.067062,-5,1,"41.756214, -71.067062"
2766,Norton,MA,41.969185,-71.1854,-5,1,"41.969185, -71.1854"
1702,Framingham,MA,42.283995,-71.42161,-5,1,"42.283995, -71.42161"
1041,Holyoke,MA,42.170731,-72.604842,-5,1,"42.170731, -72.604842"
1747,Hopedale,MA,42.125536,-71.53662,-5,1,"42.125536, -71.53662"
2141,Cambridge,MA,42.370519,-71.08443,-5,1,"42.370519, -71.08443"
1504,Blackstone,MA,42.028147,-71.52999,-5,1,"42.028147, -71.52999"
2216,Boston,MA,42.338947,-70.919635,-5,1,"42.338947, -70.919635"
1033,Granby,MA,42.254563,-72.51831,-5,1,"42.254563, -72.51831"
2472,Watertown,MA,42.371296,-71.18196,-5,1,"42.371296, -71.18196"
2169,Quincy,MA,42.250739,-70.99593,-5,1,"42.250739, -70.99593"
2375,South Easton,MA,42.029749,-71.10191,-5,1,"42.029749, -71.10191"
2639,Dennis Port,MA,41.661115,-70.13348,-5,1,"41.661115, -70.13348"
2382,Whitman,MA,42.08235,-70.93734,-5,1,"42.08235, -70.93734"
2719,Fairhaven,MA,41.634152,-70.8814,-5,1,"41.634152, -70.8814"
2126,Mattapan,MA,42.272098,-71.09426,-5,1,"42.272098, -71.09426"
2769,Rehoboth,MA,41.835067,-71.26115,-5,1,"41.835067, -71.26115"
1094,Wheelwright,MA,42.358201,-72.140846,-5,1,"42.358201, -72.140846"
2361,Plymouth,MA,41.970474,-70.701357,-5,1,"41.970474, -70.701357"
1752,Marlborough,MA,42.350909,-71.54753,-5,1,"42.350909, -71.54753"
2139,Cambridge,MA,42.364347,-71.10431,-5,1,"42.364347, -71.10431"
2305,Brockton,MA,41.970474,-70.701357,-5,1,"41.970474, -70.701357"
2407,Scituate,MA,42.136086,-70.688251,-5,1,"42.136086, -70.688251"
1938,Ipswich,MA,42.682965,-70.84007,-5,1,"42.682965, -70.84007"
1007,Belchertown,MA,42.278424,-72.411,-5,1,"42.278424, -72.411"
2146,Brookline,MA,42.308198,-71.088745,-5,1,"42.308198, -71.088745"
2344,Middleboro,MA,41.970474,-70.701357,-5,1,"41.970474, -70.701357"
1929,Essex,MA,42.631753,-70.77925,-5,1,"42.631753, -70.77925"
2724,Fall River,MA,41.684152,-71.17436,-5,1,"41.684152, -71.17436"
1746,Holliston,MA,42.196065,-71.43797,-5,1,"42.196065, -71.43797"
1253,Otis,MA,42.198403,-73.10205,-5,1,"42.198403, -73.10205"
1462,Lunenburg,MA,42.582839,-71.72051,-5,1,"42.582839, -71.72051"
2641,East Dennis,MA,41.734713,-70.20467,-5,1,"41.734713, -70.20467"
2669,West Chatham,MA,41.673635,-69.99494,-5,1,"41.673635, -69.99494"
1515,East Brookfield,MA,42.212777,-72.05311,-5,1,"42.212777, -72.05311"
2113,Boston,MA,42.365028,-71.05636,-5,1,"42.365028, -71.05636"
1856,Lowell,MA,42.641779,-71.303488,-5,1,"42.641779, -71.303488"
1569,Uxbridge,MA,42.064978,-71.62992,-5,1,"42.064978, -71.62992"
2359,Pembroke,MA,42.065554,-70.80426,-5,1,"42.065554, -70.80426"
2663,South Wellfleet,MA,41.800531,-70.076776,-5,1,"41.800531, -70.076776"
1529,Millville,MA,42.036396,-71.57798,-5,1,"42.036396, -71.57798"
2136,Hyde Park,MA,42.252198,-71.12593,-5,1,"42.252198, -71.12593"
2651,North Eastham,MA,41.824264,-69.98176,-5,1,"41.824264, -69.98176"
1302,Greenfield,MA,42.522178,-72.624164,-5,1,"42.522178, -72.624164"
