restaurant_name,restaurant_ID,restaurant_address,price,restaurant_neighborhood,restaurant_closed,ZIP_CODE,City,latitude,longitude
Grassona’s Italian,grassonas-italian-brookline,1704 Beacon St,2.0,Brookline,1,2445,Brookline,42.324397,-71.13933
Chiharu,chiharu-brookline,370 Boylston St,2.0,Brookline,0,2445,Brookline,42.324397,-71.13933
Knight Moves Cafe,knight-moves-cafe-brookline,1402 Beacon St,1.0,Brookline,0,2446,Brookline,42.344747,-71.12141
Fugakyu Japanese Cuisine,fugakyu-japanese-cuisine-brookline-2,1280 Beacon St,2.0,Brookline,0,2446,Brookline,42.344747,-71.12141
Brothers Restaurant,brothers-restaurant-brookline,404 Harvard St,2.0,Brookline,1,2446,Brookline,42.344747,-71.12141
Los Amigos Taqueria,los-amigos-taqueria-brookline,1294 Beacon St,1.0,Brookline,0,2446,Brookline,42.344747,-71.12141
La Voile Brookline,la-voile-brookline-brookline-3,1627 Beacon St,3.0,Brookline,0,2445,Brookline,42.324397,-71.13933
Toichi Ichiban Japanese Cuisine,toichi-ichiban-japanese-cuisine-brookline-2,5 Kendall St,2.0,Brookline,1,2445,Brookline,42.324397,-71.13933
Yasu,yasu-brookline,1366 Beacon St,2.0,Brookline,1,2446,Brookline,42.344747,-71.12141
Fairsted Kitchen,fairsted-kitchen-brookline,1704 Beacon St,3.0,Brookline,1,2445,Brookline,42.324397,-71.13933
Barcelona Wine Bar,barcelona-wine-bar-brookline-3,1700 Beacon St,3.0,Brookline,0,2446,Brookline,42.344747,-71.12141
Athan’s Bakery,athans-bakery-brookline,1621 Beacon St,2.0,Brookline,0,2446,Brookline,42.344747,-71.12141
Magnolia Smokehouse,magnolia-smokehouse-brookline,6 Harvard Square,2.0,Brookline,1,2445,Brookline,42.324397,-71.13933
Yokohama,yokohama-brookline,238 Washington St,2.0,Brookline,1,2445,Brookline,42.324397,-71.13933
Taam China,taam-china-brookline-4,423 Harvard St,2.0,Brookline,1,2446,Brookline,42.344747,-71.12141
Orinoco,orinoco-brookline,22 Harvard St,2.0,Brookline,0,2445,Brookline,42.324397,-71.13933
Gyu-Kaku Japanese BBQ,gyu-kaku-japanese-bbq-brookline,1002 Beacon St,2.0,Brookline,0,2446,Brookline,42.344747,-71.12141
Ribelle,ribelle-brookline-6,1665 Beacon St,3.0,Brookline,1,2445,Brookline,42.324397,-71.13933
The Daily Catch,the-daily-catch-brookline,441 Harvard St,2.0,Brookline,0,2446,Brookline,42.344747,-71.12141
Bottega Fiorentina,bottega-fiorentina-brookline,313B Harvard St,1.0,Brookline,0,2446,Brookline,42.344747,-71.12141
Is’Original,isoriginal-brookline,1671 Beacon St,1.0,Brookline,0,2445,Brookline,42.324397,-71.13933
New England Soup Factory,new-england-soup-factory-brookline,2-4  Pl,1.0,Brookline,1,2445,Brookline,42.324397,-71.13933
La Morra,la-morra-brookline,48 Boylston St,3.0,Brookline,0,2445,Brookline,42.324397,-71.13933
The Paris Creperie,the-paris-creperie-brookline-3,278 Harvard St,2.0,Brookline,0,2446,Brookline,42.344747,-71.12141
Stoli Bar & Restaurant,stoli-bar-and-restaurant-brookline,213 Washington St,3.0,Brookline,1,2445,Brookline,42.324397,-71.13933
Tatte Bakery & Cafe,tatte-bakery-and-cafe-brookline-3,1003 Beacon St,2.0,Brookline,0,2446,Brookline,42.344747,-71.12141
Cognac Bistro,cognac-bistro-brookline,455 Harvard St,2.0,Brookline,1,2446,Brookline,42.344747,-71.12141
Japonaise Bakery and Cafe,japonaise-bakery-and-cafe-brookline,1020 Beacon St,1.0,Brookline,0,2446,Brookline,42.344747,-71.12141
Maluken & Sushi Express,maluken-and-sushi-express-brookline,1038 Beacon St,2.0,Brookline,0,2446,Brookline,42.344747,-71.12141
