restaurant_ID,rest_lat,rest_long
stoli-bar-and-restaurant-brookline,42.3317416,-71.1156564
pon-thai-bistro-brookline,42.3317416,-71.1156564
the-fireplace-brookline,42.3395214,-71.1358859
shiki-brookline,42.3435171,-71.1229899
livite-brookline,42.3395214,-71.1358859
village-fare-pizza-brookline,42.33483655,-71.12302177894429
super-fusion-cuisine-brookline,42.3315737,-71.1172228
lucky-wah-chinese-restaurant-brookline,42.3410925,-71.1243615
minato-sushi-brookline,42.3315737,-71.1172228
kamiza-japanese-cuisine-brookline,42.3315737,-71.1172228
beacon-street-tavern-brookline,42.3461622,-71.1082135
shabu-village-brookline,42.3454826,-71.12682551707594
dragon-star-chinese-restaurant-brookline,42.3315737,-71.1172228
nori-sushi-brookline,42.3449432,-71.12675553805394
king-fung-garden-ii-brookline,42.3309598,-71.1214288
cafe-nicholas-brookline,42.3397067,-71.1356954
buddhas-delight-too-brookline,42.3450277,-71.12694374035831
zathmarys-brookline,42.3430452,-71.1224495
subway-brookline-3,42.34126195,-71.12123094049633
the-smoke-shop-bbq-kendall-square-cambridge,42.3662891,-71.0905799
state-park-cambridge,42.3662891,-71.0905799
think-tank-cambridge,42.3662891,-71.0905799
cambridge-brewing-company-cambridge-2,42.3662891,-71.0905799
tommy-doyles-irish-pub-and-restaurant-cambridge,42.3662891,-71.0905799
flat-top-johnnys-cambridge,42.3662891,-71.0905799
west-bridge-cambridge,42.3662891,-71.0905799
bon-me-one-kendall-square-cambridge,42.3662891,-71.0905799
the-blue-room-cambridge,42.3662891,-71.0905799
beantowne-coffee-cambridge,42.3662891,-71.0905799
blaze-pizza-cambridge-2,42.368027,-71.0746582
meadhall-cambridge,42.3592612,-71.0909082333971
barismo-cambridge-3,42.3704436,-71.1042168
t-w-food-cambridge-2,42.384376,-71.133488
talulla-cambridge,42.384376,-71.133488
self-portrait-cambridge,42.384376,-71.133488
tupelo-cambridge-3,42.355595,-71.132675
magnolias-cambridge,42.355595,-71.132675
summer-shack-cambridge-cambridge-2,42.3936797,-71.1408939
genki-ya-cambridge-cambridge,42.3890968,-71.1438282
compliments-food-cambridge,42.3891171,-71.1398346
basha-cafe-cambridge-3,42.3891171,-71.1398346
evoo-restaurant-cambridge,42.3684945,-71.080469
za-cambridge,42.3684945,-71.080469
clover-food-lab-cambridge-8,42.3587182,-71.09292240904239
ma-magoos-pizza-and-sub-shop-cambridge,42.38821695,-71.14264078500317
lingo-cafe-and-bar-cambridge,42.3697732,-71.069883
cheddars-pizzeria-cambridge,42.390085,-71.14279
sunnys-diner-cambridge,42.3616399,-71.09819367864513
